trade_date,classification,Closed PnL
2023-01-05,Fear,0.0
2023-05-12,Neutral,0.0
2024-01-01,Greed,-7.196192222222223
2024-01-02,Greed,0.0
2024-01-03,Greed,60.176944591240876
2024-01-04,Greed,32.57095332467532
2024-01-05,Greed,0.0
2024-01-06,Greed,3.66041676
2024-01-07,Greed,79.1537391875
2024-01-08,Greed,2.9312283684210527
2024-01-09,Extreme Greed,11.452757750000002
2024-01-10,Greed,0.0
2024-01-11,Extreme Greed,45.238075478260875
2024-01-12,Greed,98.28453003365385
2024-02-01,Greed,46.11641858823529
2024-02-02,Greed,10.867225547619048
2024-02-03,Greed,7.448406451612905
2024-02-04,Greed,21.555141756097562
2024-02-06,Greed,2.074268247311828
2024-02-07,Greed,134.514062
2024-02-08,Greed,12.418542714285714
2024-02-09,Greed,0.0
2024-02-10,Greed,0.0
2024-02-11,Greed,0.0
2024-02-12,Greed,68.48001597407408
2024-03-01,Extreme Greed,12.925604582089552
2024-03-02,Extreme Greed,3.9876640535714283
2024-03-03,Extreme Greed,105.83653474683545
2024-03-04,Extreme Greed,31.6971
2024-03-05,Extreme Greed,147.3893623611111
2024-03-06,Extreme Greed,8.040117257142859
2024-03-07,Extreme Greed,62.132626888888886
2024-03-08,Extreme Greed,12.545667567567568
2024-03-10,Extreme Greed,11.152864666666666
2024-03-11,Extreme Greed,0.0
2024-03-12,Extreme Greed,63.03887509358289
2024-04-01,Extreme Greed,-13.520728
2024-04-02,Extreme Greed,1.360682714285714
2024-04-03,Greed,92.66591914
2024-04-04,Greed,0.0
2024-04-05,Extreme Greed,0.0
2024-04-06,Extreme Greed,0.9851214716981133
2024-04-07,Extreme Greed,0.0
2024-04-08,Extreme Greed,-965.9212667952756
2024-04-09,Extreme Greed,31.346621529411763
2024-04-10,Extreme Greed,0.0
2024-04-11,Extreme Greed,77.76140205555555
2024-04-12,Extreme Greed,918.1561599404388
2024-05-01,Neutral,2.486993409090909
2024-05-02,Fear,-0.4646415833333337
2024-05-03,Neutral,109.95014467222222
2024-05-04,Greed,107.06484306
2024-05-05,Greed,0.15266666666666667
2024-05-06,Greed,1.038064925925926
2024-05-07,Greed,0.0
2024-05-08,Greed,-162.6708146125
2024-05-09,Greed,0.0
2024-05-10,Greed,155.86924032432432
2024-05-11,Neutral,67.8475928
2024-05-12,Greed,156.96078615789474
2024-06-01,Greed,6.16280290909091
2024-06-02,Greed,-0.19817638511029412
2024-06-03,Greed,83.10762364634145
2024-06-04,Greed,14.770945874999999
2024-06-05,Extreme Greed,107.62115333333333
2024-06-06,Extreme Greed,1.1716802863247862
2024-06-07,Extreme Greed,4.53634075
2024-06-08,Greed,2.4982995140186914
2024-06-09,Extreme Greed,-26.306113452380952
2024-06-10,Greed,5.9312308636363635
2024-06-11,Greed,187.85581533333334
2024-06-12,Greed,-229.83782604218362
2024-07-01,Neutral,-8.615270463917525
2024-07-02,Neutral,16.082808
2024-07-04,Fear,0.0
2024-07-05,Fear,49.08542738888889
2024-07-06,Fear,20.23288049090909
2024-07-07,Fear,6.1428942
2024-07-08,Fear,5.720886515151515
2024-07-10,Fear,0.0
2024-07-11,Fear,39.764187044247784
2024-07-12,Fear,282.5864442993421
2024-08-01,Neutral,-2.1083940546875
2024-08-02,Greed,77.07560240000001
2024-08-03,Fear,63.7594960597015
2024-08-04,Fear,40.614223333333335
2024-08-05,Fear,0.12044307692307693
2024-08-06,Extreme Fear,4.453063413793104
2024-08-07,Fear,0.0
2024-08-08,Extreme Fear,-4.5235796666666666
2024-08-09,Neutral,0.0
2024-08-10,Fear,149.90407327777777
2024-08-11,Fear,-1.6516292564102582
2024-08-12,Fear,38.014127228571425
2024-09-01,Fear,-11.804998042857143
2024-09-03,Fear,85.03847541880343
2024-09-04,Fear,0.0
2024-09-05,Fear,40.985566285714285
2024-09-06,Extreme Fear,0.0
2024-09-07,Extreme Fear,43.265627466666665
2024-09-08,Fear,125.56993941666666
2024-09-09,Fear,0.0
2024-09-10,Fear,28.290194285714286
2024-09-11,Fear,1.196615581395349
2024-09-12,Fear,11.708659881261596
2024-10-01,Neutral,-7.860576901554404
2024-10-03,Fear,59.117314285714286
2024-10-04,Fear,127.01081497560976
2024-10-05,Neutral,95.53371340909092
2024-10-06,Neutral,0.589939716981132
2024-10-07,Neutral,213.88812333928573
2024-10-08,Neutral,0.0
2024-10-09,Neutral,-73.24321966666666
2024-10-10,Fear,0.0
2024-10-11,Fear,5.728984589595376
2024-10-12,Neutral,24.640206911654136
2024-11-01,Extreme Greed,-7.813785761904761
2024-11-02,Greed,28.924799294117648
2024-11-03,Greed,85.43284511904761
2024-11-04,Greed,24.35894775
2024-11-05,Greed,27.956082444444444
2024-11-06,Greed,35.12708789430894
2024-11-07,Extreme Greed,98.77958326315789
2024-11-08,Extreme Greed,35.32402583333334
2024-11-09,Extreme Greed,0.0
2024-11-10,Extreme Greed,341.74336450000004
2024-11-11,Extreme Greed,18.09552545844504
2024-11-12,Extreme Greed,261.30348420720725
2024-12-01,Extreme Greed,-275.0741462857143
2024-12-02,Extreme Greed,57.11761168749999
2024-12-03,Extreme Greed,379.89575
2024-12-04,Extreme Greed,-4.594153790697676
2024-12-05,Extreme Greed,0.0
2024-12-06,Greed,-86.16744682283463
2024-12-07,Extreme Greed,74.33235021052631
2024-12-08,Extreme Greed,17.88896875
2024-12-10,Extreme Greed,54.155471
2024-12-11,Greed,20.435084175438597
2024-12-12,Extreme Greed,310.1199767122153
2025-01-01,Greed,-99.25068067708334
2025-01-02,Greed,50.946695610410096
2025-01-03,Greed,60.897177977011495
2025-01-04,Greed,-11.472199177083334
2025-01-05,Greed,44.338885607317074
2025-02-01,Greed,24.145482235457067
2025-02-02,Greed,123.46835452843062
2025-02-03,Fear,125.77879832330827
2025-02-04,Greed,187.930056633829
2025-03-01,Extreme Fear,11.867099986220472
2025-03-02,Fear,146.58459086932774
2025-03-03,Fear,415.9332201302294
2025-03-04,Extreme Fear,-1.353524757437071
2025-04-01,Fear,6.882851665768194
2025-04-02,Fear,165.9541752070064
2025-04-03,Fear,75.80165136761032
2025-04-04,Fear,-20.05949602987421
2025-05-01,Neutral,13.337737920502093
2025-05-02,Greed,43.721075992289904
